Palavra,Concretude,Valência,Alerta,Tamanho,set
Corrupção,3.59,1.89,7.73,9,A
Preconceito,1.97,2.31,7.03,11,A
Tortura,3.32,1.62,7.88,7,A
Costura,4.73,4.91,4.54,7,A
Marca,3.62,5.37,3.86,5,A
Fada,3.67,5.84,3.39,4,A
Ferida,5.32,2.62,6.88,6,A
Farelo,5.59,4.8,4.57,6,A
Pesca,4.95,6.24,3.45,5,A
Decadência,2.28,2.28,7.14,10,A
Descartável,3.48,4.46,4.61,11,A
Degolar,4.49,2.24,7.46,7,A
Cenoura,6.78,5.51,3.5,7,A
Faxineiro,6.14,5.43,3.7,9,A
Perda,2.57,2.11,7.32,5,A
Monarquia,3.33,4.07,5.33,9,A
Injeção,6.33,3.27,6.72,7,A
Analgésico,4.75,4.99,3.22,10,A
Título,3.79,5.47,4.59,6,A
Arrependimento,1.95,3.96,6.47,14,A
Prova,5.51,4.23,7.39,5,A
Bicho,5.28,5.53,4.71,5,A
Nutritiva,3.51,7.12,3.2,9,A
Gordura,4.75,3.09,6.59,7,A
Escova,6.75,6.25,3.65,6,A
Corajoso,2.81,7.66,4.78,8,A
Velocidade,3.77,6.16,6.28,10,A
Casa,6.63,7.71,2.75,4,A
Moda,2.94,5.76,4.14,4,A
Luto,3.41,2.01,6.24,4,A
Ritmo,3.17,6.56,4.48,5,A
Verde,4.5,6.66,2.87,5,A
Gozo,3.17,7.49,4.34,4,A
Filhos,6.21,6.7,6.22,6,A
Vitória,2.54,8.58,4.34,7,A
Sanduíche,6.54,7.3,4.07,9,A
Moto,6.66,4.91,5.56,4,A
Luz,4.75,7.52,3.23,3,A
Transporte,5.01,5.19,5.25,10,A
Curta,2.96,4.66,4.15,5,A
Carícia,3.6,8.07,3.01,7,A
Preguiça,3.08,3.42,3.73,8,A
Fome,3.14,2.19,7.23,4,A
Quarto,5.91,7.23,3.13,6,A
Necessidade,2.19,4.82,5.88,11,A
Polícia,5.94,4.35,6.38,7,A
Pêra,6.82,5.93,2.75,4,A
Habitante,5.43,5.34,4.41,9,A
Pequena,3.67,5.06,3.88,7,A
Elogio,2.35,8.04,3.58,6,A
Bala,6.11,4.86,4.42,4,B
Tragar,3.79,2.65,5.4,6,B
Tomar,3.8,5.51,4.58,5,B
Alimento,5.66,7.6,3.57,8,B
Esverdeado,4.24,5.64,4.62,10,B
Bom,2.32,7.6,2.74,3,B
Margarina,6.34,5.36,4.04,9,B
Persiana,6.65,5.58,3.72,8,B
Aids,4.72,1.87,7.74,4,B
Brincadeira,3.47,7.65,2.83,11,B
Ponte,6.47,5.33,4.63,5,B
Delicada,2.67,6.89,3.1,8,B
Cama,6.84,7.84,2.68,4,B
Pavor,2.99,2.48,7.75,5,B
Liberdade,2.34,7.92,4.34,9,B
Frustração,2.39,2.07,7.57,10,B
Droga,4.9,2.65,7.45,5,B
Juba,5.68,4.47,4.8,4,B
Dente,6.75,5.56,5.04,5,B
Tremor,3.56,3.27,6.81,6,B
Xingação,2.42,2.6,6.94,8,B
Farinha,6.59,5.51,4.29,7,B
Tensão,2.48,2.59,7.26,6,B
Prisão,5.45,2.01,7.4,6,B
Defeito,2.69,3.04,6.11,7,B
Descaso,2.41,3.12,6.48,7,B
Aborto,4.53,2.28,7.73,6,B
Deficiente,4.2,3.73,6.08,10,B
Beijo,6.02,8.4,3.56,5,B
Rápido,3.08,5.8,5.5,6,B
Esquecida,2.65,3.39,5.61,9,B
Desconhecido,2.31,4.47,5.83,12,B
Fruta,6.57,6.94,3.35,5,B
Demora,2.88,2.57,7.08,6,B
Zeloso,2.59,7.38,3.06,6,B
Travesseiro,6.7,7.58,2.32,11,B
Maconha,5.86,3.03,6.31,7,B
Gracioso,2.17,7.22,3.02,8,B
Despreocupação,2.16,7.01,3.79,14,B
Doação,3.47,7.72,3.65,6,B
Festa,4.65,7.61,4.26,5,B
Estado,3.52,4.98,4.44,6,B
Inocência,2.17,5.97,3.38,9,B
Virtude,2.03,7.5,3.02,7,B
Salada,6.29,6.72,3.7,6,B
Elefante,6.73,5.22,4.51,8,B
Cárie,5.86,2.21,7.0,5,B
Tamanho,3.3,5.13,4.91,7,B
Menina,6.06,7.06,4.36,6,B
Músculos,6.23,6.7,4.69,8,B
